				Presencia/Ausencia en Biomas									
FAMILIA	GÉNERO	ESPECIE	nombre científico (género + especie)	I	II	II-III	III	IV	V	VI	VII	VIII	IX
Emydidae	Trachemys	emolli	Trachemys emolli	0	1	0	0	0	0	0	0	0	0
Emydidae	Trachemys	grayi	Trachemys grayi	0	1	0	0	0	0	0	0	0	0
Emydidae	Trachemys	venusta	Trachemys venusta	1	1	0	0	0	0	0	0	0	0
Emydidae	Trachemys	hartwegi	Trachemys hartwegi	0	0	1	0	0	0	0	0	0	0
Emydidae	Trachemys	ornata	Trachemys ornata	0	1	0	0	0	0	0	0	0	0
Emydidae	Trachemys	yaquia	Trachemys yaquia	0	0	0	1	0	0	0	0	0	0
Emydidae	Pseudemys	alabamensis	Pseudemys alabamensis	0	0	0	0	0	1	0	0	0	0
Emydidae	Pseudemys	rubriventris	Pseudemys rubriventris	0	0	0	0	0	0	1	0	0	0
Emydidae	Pseudemys	concinna	Pseudemys concinna	0	0	0	0	0	1	1	0	0	0
Emydidae	Pseudemys	gorzugi	Pseudemys gorzugi	0	0	1	0	0	0	1	0	0	0
Emydidae	Pseudemys	texana	Pseudemys texana	0	1	0	0	0	0	1	0	0	0
Emydidae	Pseudemys	nelsoni	Pseudemys nelsoni	0	1	0	0	0	1	0	0	0	0
Emydidae	Pseudemys	peninsularis	Pseudemys peninsularis	0	1	0	0	0	1	0	0	0	0
Emydidae	Pseudemys	floridana	Pseudemys floridana	0	1	0	0	0	1	1	0	0	0
Emydidae	Pseudemys	csuwanniensis	Pseudemys csuwanniensis	0	0	0	0	0	1	0	0	0	0
Emydidae	Graptemys	geographica	Graptemys geographica	0	0	0	0	0	0	1	0	0	0
Emydidae	Graptemys	barbouri	Graptemys barbouri	0	0	0	0	0	1	1	0	0	0
Emydidae	Graptemys	pseudogeographica	Graptemys pseudogeographica	0	0	0	0	0	0	1	0	0	0
Emydidae	Graptemys	versa	Graptemys versa	0	1	0	0	0	0	0	0	0	0
Emydidae	Graptemys	ndelticola	Graptemys ndelticola	0	0	0	0	0	0	1	0	0	0
Emydidae	Graptemys	caglei	Graptemys caglei	0	0	1	0	0	0	0	0	0	0
Emydidae	Graptemys	oouachitensis	Graptemys oouachitensis	0	0	0	0	0	0	1	0	0	0
Emydidae	Graptemys	pearlensis	Graptemys pearlensis	0	0	0	0	0	0	1	0	0	0
Emydidae	Graptemys	flavimaculata	Graptemys flavimaculata	0	0	0	0	0	1	1	0	0	0
Emydidae	Graptemys	oculifera	Graptemys oculifera	0	0	0	0	0	0	1	0	0	0
Emydidae	Graptemys	pulchra	Graptemys pulchra	0	0	0	0	0	1	1	0	0	0
Emydidae	Graptemys	ernsti	Graptemys ernsti	0	0	0	0	0	1	0	0	0	0
Emydidae	Graptemys	gibbonsi	Graptemys gibbonsi	0	0	0	0	0	1	1	0	0	0
Emydidae	Graptemys	nigrinoda	Graptemys nigrinoda	0	0	0	0	0	1	1	0	0	0
Emydidae	Graptemys	sabinensis	Graptemys gibbonsi	0	0	0	0	0	0	1	0	0	0
Emydidae	Actinemys	marmorata	Actinemys marmorata	0	1	0	1	0	0	0	0	0	0
Emydidae	Actinemys	pallida	Actinemys pallida	0	0	0	1	1	0	0	0	0	0
Testudinidae	Gopherus	berlandieri	Gopherus berlandieri	0	0	1	0	0	0	0	0	0	0
